TABLE_NAME,CONSTRAINT_NAME,STATUS,VALIDATED,SEARCH_CONDITION
DST_PRIPIS_PODATKI,SYS_C00101385,ENABLED,VALIDATED,"""ID"" IS NOT NULL"
DST_PRIPIS_PODATKI,SYS_C00101386,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_DEL_STAVBE,SYS_C00101427,ENABLED,VALIDATED,"""DST_SID"" IS NOT NULL"
JN_DEL_STAVBE,SYS_C00101428,ENABLED,VALIDATED,"""STA_SID"" IS NOT NULL"
JN_DEL_STAVBE,SYS_C00101429,ENABLED,VALIDATED,"""STEV_DST"" IS NOT NULL"
JN_DEL_STAVBE,SYS_C00101430,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PARCELA,SYS_C00101507,ENABLED,VALIDATED,"""PC_MID"" IS NOT NULL"
JN_PARCELA,SYS_C00101508,ENABLED,VALIDATED,"""OB_MID"" IS NOT NULL"
JN_PARCELA,SYS_C00101509,ENABLED,VALIDATED,"""KO_SIFKO"" IS NOT NULL"
JN_PARCELA,SYS_C00101510,ENABLED,VALIDATED,"""PARCELA"" IS NOT NULL"
JN_PARCELA,SYS_C00101511,ENABLED,VALIDATED,"""POVRSINA"" IS NOT NULL"
JN_PARCELA,SYS_C00101512,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PARC_DEL,SYS_C00101514,ENABLED,VALIDATED,"""ID_PARC_DEL"" IS NOT NULL"
JN_PARC_DEL,SYS_C00101515,ENABLED,VALIDATED,"""PC_MID"" IS NOT NULL"
JN_PARC_DEL,SYS_C00101516,ENABLED,VALIDATED,"""DELEZ_POVRSINE"" IS NOT NULL"
JN_PARC_DEL,SYS_C00101517,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PARC_ENOTA,SYS_C00101528,ENABLED,VALIDATED,"""ID_PARC_ENOTA"" IS NOT NULL"
JN_PARC_ENOTA,SYS_C00101529,ENABLED,VALIDATED,"""PC_MID"" IS NOT NULL"
JN_PARC_ENOTA,SYS_C00101530,ENABLED,VALIDATED,"""ID_MODEL"" IS NOT NULL"
JN_PARC_ENOTA,SYS_C00101531,ENABLED,VALIDATED,"""DELEZ_POVRSINE"" IS NOT NULL"
JN_PARC_ENOTA,SYS_C00101532,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PE_DST,SYS_C00101538,ENABLED,VALIDATED,"""ID_PE_DST"" IS NOT NULL"
JN_PE_DST,SYS_C00101539,ENABLED,VALIDATED,"""ID_PE"" IS NOT NULL"
JN_PE_DST,SYS_C00101540,ENABLED,VALIDATED,"""DST_SID"" IS NOT NULL"
JN_PE_DST,SYS_C00101541,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PE_PARC,SYS_C00101543,ENABLED,VALIDATED,"""ID_PE_PARC"" IS NOT NULL"
JN_PE_PARC,SYS_C00101544,ENABLED,VALIDATED,"""ID_PE"" IS NOT NULL"
JN_PE_PARC,SYS_C00101545,ENABLED,VALIDATED,"""PC_MID"" IS NOT NULL"
JN_PE_PARC,SYS_C00101546,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_POSEBNA_ENOTA,SYS_C00101548,ENABLED,VALIDATED,"""ID_PE"" IS NOT NULL"
JN_POSEBNA_ENOTA,SYS_C00101549,ENABLED,VALIDATED,"""ID_PN"" IS NOT NULL"
JN_POSEBNA_ENOTA,SYS_C00101550,ENABLED,VALIDATED,"""ID_MODEL"" IS NOT NULL"
JN_POSEBNA_ENOTA,SYS_C00101551,ENABLED,VALIDATED,"""VREDNOST"" IS NOT NULL"
JN_POSEBNA_ENOTA,SYS_C00101552,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_PROSTOR,SYS_C00101590,ENABLED,VALIDATED,"""PRO_ID"" IS NOT NULL"
JN_PROSTOR,SYS_C00101591,ENABLED,VALIDATED,"""DST_SID"" IS NOT NULL"
JN_PROSTOR,SYS_C00101592,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
JN_STAVBA,SYS_C00101673,ENABLED,VALIDATED,"""STA_SID"" IS NOT NULL"
JN_STAVBA,SYS_C00101674,ENABLED,VALIDATED,"""KO_SIFKO"" IS NOT NULL"
JN_STAVBA,SYS_C00101675,ENABLED,VALIDATED,"""STEV_ST"" IS NOT NULL"
JN_STAVBA,SYS_C00101676,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
PARC_PRIPIS_PODATKI,SYS_C00101828,ENABLED,VALIDATED,"""ID"" IS NOT NULL"
PARC_PRIPIS_PODATKI,SYS_C00101829,ENABLED,VALIDATED,"""JN_REV_NUM"" IS NOT NULL"
