01_OBJECT,DST_PRIPIS_PODATKI,,,,,,,,TABLE,VALID,2026-07-24 09:37:26,
02_TABLE,DST_PRIPIS_PODATKI,,,,,,,,1935694,142,2026-04-02 21:02:58,
03_COLUMN,DST_PRIPIS_PODATKI,,1,ID,VARCHAR2(25 CHAR),,,,N,100,,Identifikator tabele
03_COLUMN,DST_PRIPIS_PODATKI,,2,CREATED_AT,TIMESTAMP(6),,,,Y,11,DEFAULT EXISTS; LENGTH=12,Kreirano
03_COLUMN,DST_PRIPIS_PODATKI,,3,DST_SID,"NUMBER(28,0)",,,,Y,22,,Identifikator dela stavbe
03_COLUMN,DST_PRIPIS_PODATKI,,4,EID,VARCHAR2(20 CHAR),,,,Y,80,,Eid
03_COLUMN,DST_PRIPIS_PODATKI,,5,ID_MODEL,VARCHAR2(10 CHAR),,,,Y,40,,Identifikator model
03_COLUMN,DST_PRIPIS_PODATKI,,6,ERROR_MSG,VARCHAR2(1000 BYTE),,,,Y,1000,,Error msg
03_COLUMN,DST_PRIPIS_PODATKI,,7,RAVEN,"NUMBER(4,0)",,,,Y,22,,Raven
03_COLUMN,DST_PRIPIS_PODATKI,,8,CONA_IME,VARCHAR2(50 BYTE),,,,Y,50,,Cona Ime
03_COLUMN,DST_PRIPIS_PODATKI,,9,D_DST,"NUMBER(7,6)",,,,Y,22,,D dst
03_COLUMN,DST_PRIPIS_PODATKI,,10,IZMERA,"NUMBER(12,2)",,,,Y,22,,Izmera
03_COLUMN,DST_PRIPIS_PODATKI,,11,LETO_IZG_STA,"NUMBER(4,0)",,,,Y,22,,Leto izg sta
03_COLUMN,DST_PRIPIS_PODATKI,,12,VT_DST,"NUMBER(12,2)",,,,Y,22,,Vt dst
03_COLUMN,DST_PRIPIS_PODATKI,,13,POV_LETO_OBN,"NUMBER(4,0)",,,,Y,22,,Pov Leto obn
03_COLUMN,DST_PRIPIS_PODATKI,,14,F_OBN,"NUMBER(12,2)",,,,Y,22,,F obn
03_COLUMN,DST_PRIPIS_PODATKI,,15,T_LAST,"NUMBER(12,2)",,,,Y,22,,T last
03_COLUMN,DST_PRIPIS_PODATKI,,16,F_LAST,"NUMBER(12,2)",,,,Y,22,,F last
03_COLUMN,DST_PRIPIS_PODATKI,,17,F_NK,"NUMBER(12,2)",,,,Y,22,,F nk
03_COLUMN,DST_PRIPIS_PODATKI,,18,POVR_ZPS,"NUMBER(12,2)",,,,Y,22,,Povr zps
03_COLUMN,DST_PRIPIS_PODATKI,,19,F_D_DST,"NUMBER(7,6)",,,,Y,22,,F d dst
03_COLUMN,DST_PRIPIS_PODATKI,,20,VT_ZPS_M2,"NUMBER(12,2)",,,,Y,22,,Vt zps m2
03_COLUMN,DST_PRIPIS_PODATKI,,21,VT_PRI,"NUMBER(12,2)",,,,Y,22,,Vt pri
03_COLUMN,DST_PRIPIS_PODATKI,,22,VPLIVI,VARCHAR2(1000 BYTE),,,,Y,1000,,Vplivi
03_COLUMN,DST_PRIPIS_PODATKI,,23,F_ODD,"NUMBER(12,2)",,,,Y,22,,F odd
03_COLUMN,DST_PRIPIS_PODATKI,,24,T_DP,"NUMBER(12,2)",,,,Y,22,,T dp
03_COLUMN,DST_PRIPIS_PODATKI,,25,F_DP,"NUMBER(12,2)",,,,Y,22,,F dp
03_COLUMN,DST_PRIPIS_PODATKI,,26,T_LEGE,"NUMBER(12,2)",,,,Y,22,,T lege
03_COLUMN,DST_PRIPIS_PODATKI,,27,F_LEGE,"NUMBER(12,2)",,,,Y,22,,F lege
03_COLUMN,DST_PRIPIS_PODATKI,,28,F_GAR,"NUMBER(12,2)",,,,Y,22,,F gar
03_COLUMN,DST_PRIPIS_PODATKI,,29,POVR_PPP_P,"NUMBER(12,2)",,,,Y,22,,Povr ppp p
03_COLUMN,DST_PRIPIS_PODATKI,,30,POVR_PPL_P,"NUMBER(12,2)",,,,Y,22,,Povr ppl p
03_COLUMN,DST_PRIPIS_PODATKI,,31,FAKTOR_P,"NUMBER(12,2)",,,,Y,22,,Faktor p
03_COLUMN,DST_PRIPIS_PODATKI,,32,F_LP,"NUMBER(7,6)",,,,Y,22,,F lp
03_COLUMN,DST_PRIPIS_PODATKI,,33,POVR_DP_P,"NUMBER(12,2)",,,,Y,22,,Povr dp p
03_COLUMN,DST_PRIPIS_PODATKI,,34,VT_DP_M2_P,"NUMBER(12,2)",,,,Y,22,,Vt dp m2 p
03_COLUMN,DST_PRIPIS_PODATKI,,35,POVR_PPL_L,"NUMBER(12,2)",,,,Y,22,,Povr ppl l
03_COLUMN,DST_PRIPIS_PODATKI,,36,POVR_PPP_L,"NUMBER(12,2)",,,,Y,22,,Povr ppp l
03_COLUMN,DST_PRIPIS_PODATKI,,37,FAKTOR_L,"NUMBER(12,2)",,,,Y,22,,Faktor l
03_COLUMN,DST_PRIPIS_PODATKI,,38,F_PL,"NUMBER(12,2)",,,,Y,22,,F pl
03_COLUMN,DST_PRIPIS_PODATKI,,39,POVR_DP_L,"NUMBER(12,2)",,,,Y,22,,Povr dp l
03_COLUMN,DST_PRIPIS_PODATKI,,40,VT_DP_M2_L,"NUMBER(12,2)",,,,Y,22,,Vt dp m2 l
03_COLUMN,DST_PRIPIS_PODATKI,,41,POVR_DP_TUR,"NUMBER(12,2)",,,,Y,22,,Povr dp tur
03_COLUMN,DST_PRIPIS_PODATKI,,42,VT_DP_M2_TUR,"NUMBER(12,2)",,,,Y,22,,Vt dp m2 tur
03_COLUMN,DST_PRIPIS_PODATKI,,43,JN_REV_NUM,"NUMBER(12,0)",,,,N,22,,Stevilka revizije spremembe
03_COLUMN,DST_PRIPIS_PODATKI,,44,VREDNOST,"NUMBER(12,2)",,,,Y,22,,Vrednost
04_CONSTRAINT,DST_PRIPIS_PODATKI,SYS_C00101385,,ID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,DST_PRIPIS_PODATKI,SYS_C00101386,,JN_REV_NUM,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,DST_PRIPIS_PODATKI,SYS_C00102666,1,ID,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
05_INDEX,DST_PRIPIS_PODATKI,SYS_C00102666,1,ID,ID,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
01_OBJECT,JN_DEL_STAVBE,,,,,,,,TABLE,VALID,2026-07-24 09:37:29,
02_TABLE,JN_DEL_STAVBE,,,,,,,,11133941,97,2026-07-24 21:01:46,
03_COLUMN,JN_DEL_STAVBE,,1,DST_SID,"NUMBER(12,0)",,,,N,22,,Identifikator dela stavbe
03_COLUMN,JN_DEL_STAVBE,,2,STA_SID,"NUMBER(12,0)",,,,N,22,,Identifikator stavbe (stavba) 
03_COLUMN,JN_DEL_STAVBE,,3,STEV_DST,"NUMBER(4,0)",,,,N,22,,Stevilka dela stavbe
03_COLUMN,JN_DEL_STAVBE,,4,STEV_STAN,VARCHAR2(4 CHAR),,,,Y,16,,Stev stan
03_COLUMN,JN_DEL_STAVBE,,5,POVRSINA,"NUMBER(10,2)",,,,Y,22,,Površina
03_COLUMN,JN_DEL_STAVBE,,6,UPOR_POV,"NUMBER(10,2)",,,,Y,22,,Upor pov
03_COLUMN,JN_DEL_STAVBE,,7,HS_MID,"NUMBER(12,0)",,,,Y,22,,Hs Identifikator zapisa
03_COLUMN,JN_DEL_STAVBE,,8,LETO_OBN_OKEN,"NUMBER(4,0)",,,,Y,22,,Leto obn oken
03_COLUMN,JN_DEL_STAVBE,,9,LETO_OBN_INST,"NUMBER(4,0)",,,,Y,22,,Leto obn inst
03_COLUMN,JN_DEL_STAVBE,,10,ST_NADSTROPJA,"NUMBER(3,0)",,,,Y,22,,Številka nadstropja
03_COLUMN,JN_DEL_STAVBE,,11,ID_LEGA,"NUMBER(12,0)",,,,Y,22,,FK na SIF_LEGA.ID_LEGA
03_COLUMN,JN_DEL_STAVBE,,12,PROSTORNINA,"NUMBER(10,1)",,,,Y,22,,Prostornina
03_COLUMN,JN_DEL_STAVBE,,13,IMA_DVIGALO_DN,"NUMBER(1,0)",,,,Y,22,,Ima dvigalo
03_COLUMN,JN_DEL_STAVBE,,14,VISINA_ETAZE,"NUMBER(4,1)",,,,Y,22,,Visina etaze
03_COLUMN,JN_DEL_STAVBE,,15,ID_DR_DST,"NUMBER(12,0)",,,,Y,22,,Identifikator dr dst
03_COLUMN,JN_DEL_STAVBE,,16,JN_REV_NUM,"NUMBER(12,0)",,,,N,22,,Stevilka revizije spremembe
03_COLUMN,JN_DEL_STAVBE,,17,JN_REV_NUM_TO,"NUMBER(12,0)",,,,Y,22,,Jn rev num to
03_COLUMN,JN_DEL_STAVBE,,18,JN_REV_NUM_PREV,"NUMBER(12,0)",,,,Y,22,,Jn rev num prev
03_COLUMN,JN_DEL_STAVBE,,19,JN_STATUS,CHAR(1 BYTE),,,,Y,1,,Jn Status
03_COLUMN,JN_DEL_STAVBE,,20,DELEZ_DST_STAVBA,"NUMBER(7,6)",,,,Y,22,,Delez dst stavba
03_COLUMN,JN_DEL_STAVBE,,21,ZPS_DST,"NUMBER(10,2)",,,,Y,22,,Zps dst
03_COLUMN,JN_DEL_STAVBE,,22,ID_MODEL,VARCHAR2(10 CHAR),,,,Y,40,,Identifikator model
03_COLUMN,JN_DEL_STAVBE,,23,CCSI_STAR,VARCHAR2(10 CHAR),,,,Y,40,,Ccsi star
03_COLUMN,JN_DEL_STAVBE,,24,IMA_KATAS_VPIS_DN,"NUMBER(1,0)",,,,Y,22,,Ima katas vpis
03_COLUMN,JN_DEL_STAVBE,,25,EID,"NUMBER(20,0)",,,,Y,22,,Eid
