fid,koda_obm,nv_status,ime_obm,nv_kratka_oznaka,nv_zvrsti,nv_pomen,nv_rezim_vstop,nv_koord_e,nv_koord_n,geometry
ZOS_NV_PNT_JAME.6338,40546,,Devška jama,Jama občasni ponor,geomorfp,državni,3,464738,57046,POINT (464738.2453 57045.9149999991)
ZOS_NV_PNT_JAME.6372,40580,,Skednenca pod Sovico,"Spodmol, kevdrc",geomorfp,državni,3,456794,70227,POINT (456794 70227)
ZOS_NV_PNT_JAME.6411,40619,,Mivči Kevdrc,Vodoravna jama,geomorfp,državni,3,447843,80968,POINT (447843 80968)
ZOS_NV_PNT_JAME.6415,40623,,Brezno 2 na Bezovski gmajni,Poševno ali stopnjasto brezno,geomorfp,državni,3,449387,78089,POINT (449387 78089)
ZOS_NV_PNT_JAME.6422,40630,,Bilpa 1,Vodoravna jama,geomorfp,državni,3,497054,41447,POINT (497054 41447)
ZOS_NV_PNT_JAME.6430,40638,,Snežna jama pod Gostečnikovim stanom,Jama s stalnim ledom,geomorfp,državni,3,491730,137336,POINT (491730.1967 137336.092399999)
ZOS_NV_PNT_JAME.6447,40655,,Malo brezno v Krncovem talu,Brezno,geomorfp,državni,3,446845,87364,POINT (446845 87364)
ZOS_NV_PNT_JAME.6451,40659,,Lenarčičevo brezno 1,Brezno,geomorfp,državni,3,447629,85487,POINT (447628.5962 85486.5513000004)
ZOS_NV_PNT_JAME.6455,40663,,Hrenovo brezno,Brezno,geomorfp,državni,3,445519,85457,POINT (445518.5633 85456.5890999995)
ZOS_NV_PNT_JAME.6459,40667,,Mala Knežja jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,499634,62460,POINT (499634 62460)
ZOS_NV_PNT_JAME.6080,40288,,Mačina jama,"Jama občasni izvir, Vodoravna jama",geomorfp,državni,3,439055,81620,POINT (439055.4085 81619.5987999998)
ZOS_NV_PNT_JAME.6087,40295,,Brezno 2 pri Kaliških koliševkah,Poševno ali stopnjasto brezno,geomorfp,državni,3,439568,83587,POINT (439568.4406 83586.6559999995)
ZOS_NV_PNT_JAME.6096,40304,,Brezno v Povšnah v Novem svetu,Brezno,geomorfp,državni,3,433738,86277,POINT (433738.4303 86276.7423)
ZOS_NV_PNT_JAME.6285,40493,,Ciganska jama pri Predgrižah,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,427929,89057,POINT (427929 89057)
ZOS_NV_PNT_JAME.6290,40498,,Ravbarska luknja 2 nad Libojami,Vodoravna jama,geomorfp,državni,3,514800,118255,POINT (514800.0767 118255.2391)
ZOS_NV_PNT_JAME.6334,40542,,Jama pri Pečini,Vodoravna jama,geomorfp,državni,3,403778,92117,POINT (403777.949 92117.1809)
ZOS_NV_PNT_JAME.6259,40467,,Trbiška zijalka,Vodoravna jama,geomorfp,državni,2,479195,136546,POINT (479195.1125 136546.463099999)
ZOS_NV_PNT_JAME.6262,40470,,Zgornja Stopenca,"Spodmol, kevdrc",geomorfp,državni,3,539665,94209,POINT (539665 94209)
ZOS_NV_PNT_JAME.6108,40316,,Škamprlova jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,411783,61917,POINT (411783 61917)
ZOS_NV_PNT_JAME.6111,40319,,Jama na Primčevi gmajni,Poševno ali stopnjasto brezno,geomorfp,državni,3,441128,84687,POINT (441128.4761 84686.6658999994)
ZOS_NV_PNT_JAME.6119,40327,,Suhi brezen pri Kališah,Brezno,geomorfp,državni,3,439478,82427,POINT (439478.4246 82426.6184999999)
ZOS_NV_PNT_JAME.6127,40335,,Žnidarjeva jama,"Spodmol, kevdrc",geomorfp,državni,3,441654,104894,POINT (441654 104894)
ZOS_NV_PNT_JAME.6159,40367,,Jama pri taboru,"Spodmol, kevdrc",geomorfp,državni,3,441601,126494,POINT (441601 126494)
ZOS_NV_PNT_JAME.6166,40374,,Jama na Grivi,"Spodmol, kevdrc",geomorfp,državni,3,408299,130658,POINT (408298.6673 130658.032299999)
